"PROJECT","RELEASE_ID","RELEASE_NAME","CLASS","LOC","NSMELLS","LOC_ADDED","MAX_LOC_ADDED","CHURN","AVG_CHURN","NR","NFIX","FIX_RATE","NAUTH","AVG_CHANGE_SET","MAX_CHANGE_SET","AVG_ND","AGE_LAST_CHANGE","MIN_EXP","NUM_METHODS","DIT","RFC","FAN_IN","FAN_OUT","CC","BUGGY"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java","84","5","139","112","152","38.00","4","0","0.00","2","381.25","708","78.25","113","126","10","3","2","1","7","10","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java","37","0","65","65","65","65.00","1","0","0.00","1","12.00","12","8.00","33","126","7","2","1","1","2","7","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java","29","0","68","51","81","16.20","5","0","0.00","2","312.20","708","64.80","43","126","7","2","0","0","3","7","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java","55","2","104","84","119","23.80","5","0","0.00","2","317.00","708","70.00","113","126","8","2","2","0","3","8","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java","21","0","44","44","44","44.00","1","0","0.00","1","24.00","24","9.00","50","126","4","2","1","1","3","4","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java","39","0","96","45","125","20.83","6","1","0.17","2","261.33","708","55.67","59","126","8","2","2","2","3","9","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java","6","0","21","21","21","21.00","1","0","0.00","1","176.00","176","41.00","113","126","1","3","0","0","1","1","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java","245","3","382","170","435","72.50","6","0","0.00","2","260.00","708","54.67","19","126","24","10","3","1","8","24","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/DataType.java","39","0","68","68","68","68.00","1","0","0.00","1","24.00","24","9.00","50","126","9","2","2","4","3","9","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java","19","0","48","34","55","27.50","2","0","0.00","1","92.50","176","23.00","113","126","3","2","1","1","2","4","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/ExistsPredicate.java","21","0","44","44","44","44.00","1","0","0.00","1","36.00","36","11.00","43","126","4","2","1","1","3","4","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/Expr.java","73","2","125","80","134","33.50","4","0","0.00","2","381.25","708","78.25","113","126","7","1","9","15","9","16","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/FunctionExpr.java","46","0","83","41","91","18.20","5","0","0.00","2","307.40","708","64.20","71","126","9","2","4","2","5","15","yes"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/GeneralSetFunctionExpr.java","11","0","31","21","34","17.00","2","0","0.00","1","94.00","176","24.50","71","126","2","3","0","0","2","2","no"
"TAJO","1","0.2-incubating","tajo/tajo-algebra/src/main/java/org/apache/tajo/algebra/Having.java","30","0","56","56","56","56.00","1","0","0.00","1","176.00","176","41.00","113","126","6","3","2","1","6","7","no"
