@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
1.929419,0.778151,2.146128,2.053078,2.184691,1.591065,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,1.041393,0.60206,0.477121,0.30103,0.90309,1.041393,no
1.579784,0,1.819544,1.819544,1.819544,1.819544,0.30103,0,0,0.30103,1.113943,1.113943,0.954243,1.531479,2.103804,0.90309,0.477121,0.30103,0.30103,0.477121,0.90309,no
1.477121,0,1.838849,1.716003,1.913814,1.235528,0.778151,0,0,0.477121,2.495822,2.850646,1.818226,1.643453,2.103804,0.90309,0.477121,0,0,0.60206,0.90309,no
1.748188,0.477121,2.021189,1.929419,2.079181,1.394452,0.778151,0,0,0.477121,2.502427,2.850646,1.851258,2.056905,2.103804,0.954243,0.477121,0.477121,0,0.60206,0.954243,no
1.342423,0,1.653213,1.653213,1.653213,1.653213,0.30103,0,0,0.30103,1.39794,1.39794,1,1.70757,2.103804,0.69897,0.477121,0.30103,0.30103,0.60206,0.69897,no
1.60206,0,1.986772,1.662758,2.100371,1.339054,0.845098,0.30103,0.068186,0.477121,2.418848,2.850646,1.753353,1.778151,2.103804,0.954243,0.477121,0.477121,0.477121,0.60206,1,no
0.845098,0,1.342423,1.342423,1.342423,1.342423,0.30103,0,0,0.30103,2.247973,2.247973,1.623249,2.056905,2.103804,0.30103,0.60206,0,0,0.30103,0.30103,no
2.390935,0.60206,2.583199,2.232996,2.639486,1.866287,0.845098,0,0,0.477121,2.416641,2.850646,1.745621,1.30103,2.103804,1.39794,1.041393,0.60206,0.30103,0.954243,1.39794,no
1.60206,0,1.838849,1.838849,1.838849,1.838849,0.30103,0,0,0.30103,1.39794,1.39794,1,1.70757,2.103804,1,0.477121,0.477121,0.69897,0.60206,1,no
1.30103,0,1.690196,1.544068,1.748188,1.454845,0.477121,0,0,0.30103,1.970812,2.247973,1.380211,2.056905,2.103804,0.60206,0.477121,0.30103,0.30103,0.477121,0.69897,no
1.342423,0,1.653213,1.653213,1.653213,1.653213,0.30103,0,0,0.30103,1.568202,1.568202,1.079181,1.643453,2.103804,0.69897,0.477121,0.30103,0.30103,0.60206,0.69897,no
1.869232,0.477121,2.100371,1.908485,2.130334,1.537819,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.90309,0.30103,1,1.20412,1,1.230449,no
1.672098,0,1.924279,1.623249,1.963788,1.283301,0.778151,0,0,0.477121,2.489114,2.850646,1.814248,1.857332,2.103804,1,0.477121,0.69897,0.477121,0.778151,1.20412,yes
1.079181,0,1.50515,1.342423,1.544068,1.255273,0.477121,0,0,0.30103,1.977724,2.247973,1.40654,1.857332,2.103804,0.477121,0.60206,0,0,0.477121,0.477121,no
1.491362,0,1.755875,1.755875,1.755875,1.755875,0.30103,0,0,0.30103,2.247973,2.247973,1.623249,2.056905,2.103804,0.845098,0.60206,0.477121,0.30103,0.845098,0.90309,no
1.255273,0.30103,1.322219,1.146128,1.447158,1.161368,0.477121,0,0,0.30103,1.984527,2.247973,1.423246,1.892095,2.103804,0.69897,0.60206,0,0,0.477121,0.69897,no
1.919078,0,2.09691,2.09691,2.09691,2.09691,0.30103,0,0,0.30103,1.897627,1.897627,1.544068,1.886491,2.103804,1.342423,0.477121,0.30103,0.30103,0.60206,1.342423,no
1.342423,0,1.255273,1.079181,1.623249,1.332438,0.477121,0.30103,0.176091,0.30103,1.963788,2.247973,1.389166,1.579784,2.103804,0.69897,0.477121,0.30103,0.30103,0.477121,0.69897,no
1.78533,0.30103,2.068186,1.897627,2.143015,1.550228,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,1.146128,0.60206,1,0.30103,0.90309,1.230449,no
1.477121,0.477121,1.80618,1.732394,1.845098,1.261263,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.778151,0.30103,0.845098,0.90309,0.954243,0.778151,no
1.39794,0,1.78533,1.662758,1.857332,1.273001,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,0.778151,0.60206,0.60206,0.30103,0.69897,0.778151,no
1.477121,0.30103,1.832509,1.69897,1.908485,1.230449,0.778151,0.30103,0.079181,0.477121,2.494433,2.850646,1.819544,1.778151,2.103804,0.69897,0.477121,0.477121,0.30103,0.60206,0.69897,yes
1.079181,0,1.041393,1.041393,1.230449,1.230449,0.30103,0,0,0.30103,2.247973,2.247973,1.623249,2.056905,2.103804,0.477121,0.60206,0.30103,0.30103,0.60206,0.477121,no
1.041393,0,1.653213,1.414973,1.763428,1.18327,0.69897,0,0,0.477121,2.577204,2.850646,1.900367,2.056905,2.103804,0.477121,0.477121,0,0.30103,0.477121,0.477121,no
1.633468,0,1.845098,1.845098,1.845098,1.845098,0.30103,0,0,0.30103,1.447158,1.447158,1.113943,1.763428,2.103804,0.90309,0.477121,0.60206,0.477121,0.60206,0.90309,no
1.623249,0,1.939519,1.812913,2.004321,1.414973,0.69897,0,0,0.477121,2.582347,2.850646,1.898999,2.056905,2.103804,1.041393,0.60206,0.60206,0.477121,0.845098,1.041393,no
