Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumAttributesSelected,measureSelectionTime,measureTime,measureOutOfBagError
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,168.0,24.0,0.0,87.5,12.5,0.0,0.3333333333333333,0.1761979166666666,0.29697169477914886,80.66779951370481,89.79572258436271,104.36461266452089,77.31515191193435,27.04946075258654,0.5435656909610463,0.4026830828746581,0.14088260808638822,-5.376486966582653,-0.02800253628428465,-5.151637925266222,0.3333333333333333,8.0,0.047619047619047616,8.0,0.9523809523809523,160.0,0.6666666666666666,16.0,0.5,0.3333333333333333,0.4,0.34188172937891387,0.8532986111111112,0.5194537745878063,0.875,0.5892857142857143,0.41071428571428575,0.125,0.8579545454545454,0.875,0.863953488372093,0.34188172937891387,0.8532986111111112,0.9183466196430424,0.6651162790697674,0.875,0.539,0.011,0.515625,0.015625,515.625,15.625,1818849.0,355598.0,41538.0,99.47916666666667,77.34375,?,10.0,106.0,538.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,172.0,20.0,0.0,89.58333333333333,10.416666666666666,0.0,0.298245614035088,0.16348958333333327,0.2771083948565976,74.84960764809914,83.78963041863675,104.36461266452089,69.31810274880469,35.0465099157162,0.5435656909610463,0.36103178515002443,0.18253390581102188,8.826817118493976,0.04597300582548946,8.457672474546232,0.20833333333333334,5.0,0.005952380952380952,1.0,0.9940476190476191,167.0,0.7916666666666666,19.0,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.38467839887120736,0.8971974206349206,0.5558787665281624,0.8958333333333334,0.6934523809523809,0.30654761904761907,0.10416666666666667,0.8897849462365591,0.8958333333333334,0.867231638418079,0.3846783988712073,0.8971974206349206,0.9300410162155837,0.6384180790960452,0.8958333333333334,0.372,0.006,0.359375,0.015625,359.375,15.625,1793579.0,355598.0,41538.0,100.0,77.86458333333333,?,11.0,42.0,371.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,175.0,17.0,0.0,91.14583333333333,8.854166666666666,0.0,0.4728682170542638,0.15343749999999995,0.28146010670549154,70.24751326259957,85.105463263383,104.36461266452089,75.6750920086783,28.689520655842585,0.5435656909610463,0.39414110421186616,0.14942458674918013,10.124816839604629,0.05273342103960744,9.701388795597564,0.375,9.0,0.011904761904761904,2.0,0.9880952380952381,166.0,0.625,15.0,0.8181818181818182,0.375,0.5142857142857142,0.5167079992509492,0.8410218253968254,0.5439724258574286,0.9114583333333334,0.5483630952380952,0.4516369047619048,0.08854166666666667,0.904758915118031,0.9114583333333334,0.8966639377814163,0.5167079992509492,0.8410218253968255,0.9171936129377722,0.7327875562832582,0.9114583333333334,0.335,0.005,0.34375,0.0,343.75,0.0,1875184.0,355598.0,41538.0,98.95833333333333,73.95833333333333,?,9.0,26.0,335.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,166.0,26.0,0.0,86.45833333333333,13.541666666666666,0.0,0.13333333333333358,0.16427083333333323,0.3014703550931667,75.20728337754208,91.15598843010012,104.36461266452089,81.26824764579423,23.096365018726658,0.5435656909610463,0.4232721231551783,0.12029356780586802,6.095367236469761,0.03174670435661334,5.8404540397838325,0.125,3.0,0.02976190476190476,5.0,0.9702380952380952,163.0,0.875,21.0,0.375,0.125,0.1875,0.15762208124782015,0.8376736111111112,0.4276315327110566,0.8645833333333334,0.7693452380952381,0.2306547619047619,0.13541666666666666,0.8220108695652174,0.8645833333333334,0.8338068181818183,0.15762208124782015,0.8376736111111112,0.9040910104230561,0.5568181818181819,0.8645833333333334,0.305,0.008,0.3125,0.0,312.5,0.0,1807895.0,355598.0,41538.0,97.91666666666667,71.35416666666667,?,9.0,12.0,304.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,169.0,23.0,0.0,88.02083333333333,11.979166666666666,0.0,0.25203252032520346,0.1613020833333333,0.30198216696796304,73.84811560565882,91.31074566094924,104.36461266452089,1155.6781775957777,-1051.313564931257,0.5435656909610463,6.019157174978009,-5.475591484016963,11.57980386567808,0.06031147846707333,11.095527085316988,0.20833333333333334,5.0,0.023809523809523808,4.0,0.9761904761904762,164.0,0.7916666666666666,19.0,0.5555555555555556,0.20833333333333334,0.30303030303030304,0.2887126907173415,0.7931547619047619,0.4127215511385503,0.8802083333333334,0.6956845238095238,0.3043154761904762,0.11979166666666667,0.8535974499089254,0.8802083333333334,0.8555426055426055,0.2887126907173415,0.7931547619047619,0.8845445110751452,0.6187516187516188,0.8802083333333334,0.379,0.005,0.359375,0.0,359.375,0.0,1796610.0,355598.0,41538.0,97.91666666666667,73.95833333333333,?,8.0,13.0,378.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1724.0,192.0,174.0,18.0,0.0,90.625,9.375,0.0,0.42857142857142855,0.1379166666666666,0.2666282524414845,63.1416887709992,80.62073594991656,104.36461266452089,1135.167289174022,-1030.8026765095012,0.5435656909610463,5.912329631114698,-5.368763940153652,26.82304354555908,0.13970335179978688,25.7012821307367,0.3333333333333333,8.0,0.011904761904761904,2.0,0.9880952380952381,166.0,0.6666666666666666,16.0,0.8,0.3333333333333333,0.47058823529411764,0.4784196905583755,0.8678075396825397,0.6380174617174016,0.90625,0.5848214285714286,0.41517857142857145,0.09375,0.898076923076923,0.90625,0.8888235294117647,0.4784196905583755,0.8678075396825397,0.9282627139579483,0.7095798319327732,0.90625,0.314,0.005,0.296875,0.0,296.875,0.0,1818850.0,355598.0,41538.0,98.95833333333333,71.61458333333333,?,13.0,8.0,313.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1725.0,191.0,169.0,22.0,0.0,88.48167539267016,11.518324607329843,0.0,0.29826319305277216,0.16916230366492133,0.28893105030865185,78.54530482397494,88.76967557354972,101.36521486057363,76.87994877410561,24.485266086468016,0.5307079312071917,0.4025128208068357,0.1281951104003561,1.1066907433889026,0.005794192373763888,1.0917855251539097,0.2608695652173913,6.0,0.02976190476190476,5.0,0.9702380952380952,163.0,0.7391304347826086,17.0,0.5454545454545454,0.2608695652173913,0.3529411764705882,0.3228496388200506,0.8333333333333334,0.4916936732095713,0.8848167539267016,0.653709093471215,0.34629090652878497,0.11518324607329843,0.8621926066952244,0.8848167539267016,0.8664762167730424,0.3228496388200506,0.8333333333333333,0.912689703239067,0.6448613928329952,0.8848167539267016,0.304,0.006,0.296875,0.0,296.875,0.0,1802357.0,355803.0,41333.0,98.95287958115183,76.96335078534031,?,11.0,9.0,304.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1725.0,191.0,171.0,20.0,0.0,89.52879581151832,10.471204188481675,0.0,0.3915259636827016,0.16821989528795805,0.2933619889223937,78.10772652411995,90.13101414483859,101.36521486057363,1150.7492685025898,-1049.3840536420162,0.5307079312071917,6.024865280118271,-5.494157348911079,-0.4054981909256177,-0.002123027177621035,-0.4000368286925397,0.34782608695652173,8.0,0.02976190476190476,5.0,0.9702380952380952,163.0,0.6521739130434783,15.0,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.41100929795633806,0.7906314699792961,0.454600910940071,0.8952879581151832,0.5772237759205663,0.42277622407943366,0.10471204188481675,0.8795630512202076,0.8952879581151832,0.8822577987605377,0.41100929795633806,0.790631469979296,0.893487325857174,0.693320488118176,0.8952879581151832,0.313,0.005,0.28125,0.015625,281.25,15.625,1798307.0,355803.0,41333.0,97.38219895287958,74.60732984293193,?,10.0,9.0,313.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1725.0,191.0,168.0,23.0,0.0,87.95811518324608,12.041884816753926,0.0,0.21342882721575696,0.17623036649214655,0.29392095671423557,80.52140789273194,88.67422444758203,104.17288896295852,78.1546439622218,26.018245000736727,0.5454077956175839,0.4091866176032555,0.1362211780143284,-0.47274657007478016,-0.002475112932328692,-0.45380959938902904,0.16666666666666666,4.0,0.017964071856287425,3.0,0.9820359281437125,164.0,0.8333333333333334,20.0,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.26231581309053675,0.843188622754491,0.46989523710767916,0.8795811518324608,0.7308785570220816,0.2691214429779185,0.12041884816753927,0.851110532990797,0.8795811518324608,0.8494792065134912,0.26231581309053675,0.8431886227544909,0.9085143119116849,0.5962687253009833,0.8795811518324608,0.298,0.004,0.296875,0.0,296.875,0.0,1779413.0,355803.0,41333.0,98.95287958115183,78.53403141361257,?,11.0,8.0,297.0,-1.0
'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22',1,10,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-1151805453487947577,2.02609041704E7,1725.0,191.0,170.0,21.0,0.0,89.00523560209425,10.99476439790576,0.0,0.31681144609095596,0.1591623036649214,0.29072395644006965,72.72284016455885,87.70970826255208,104.17288896295852,1145.7801104542734,-1041.607221491315,0.5454077956175839,5.998848745833892,-5.453440950216309,10.031201695323025,0.05251938060378547,9.629378425791657,0.25,6.0,0.017964071856287425,3.0,0.9820359281437125,164.0,0.75,18.0,0.6666666666666666,0.25,0.36363636363636365,0.36296282245503525,0.8308383233532934,0.4905691179529306,0.8900523560209425,0.6580164278772298,0.3419835721227702,0.1099476439790576,0.871641447557678,0.8900523560209425,0.8674270268353587,0.3629628224550353,0.8308383233532933,0.9037217490262067,0.651732221932795,0.8900523560209425,0.287,0.005,0.28125,0.0,281.25,0.0,1783718.0,355803.0,41333.0,98.42931937172774,74.60732984293193,?,11.0,8.0,285.0,-1.0
